raw_name,total_count,unique_msgs,high,medium,low,top_units
подвесы,1141,1128,1090,46,5,"шт:767, —:373, м:1"
вставка,1013,982,759,204,50,"—:531, м:458, шт:18"
провод,781,760,705,73,3,"м:420, —:344, шт:15"
брус,700,689,659,40,1,"м:497, —:175, шт:22"
ваго,551,538,516,34,1,"—:331, шт:220"
гарпун двойной,354,348,340,14,0,"м:236, —:115, пг:1"
кольцо 40,330,321,304,26,0,"—:205, шт:125"
уголки 125*150,314,306,301,13,0,"—:200, шт:114"
подвес,296,291,288,5,3,"шт:227, —:67, м:1"
под люстру,291,284,261,30,0,"—:186, шт:105"
крючки,225,217,175,45,5,"—:61, пачка:53, компл:43"
пвх,210,199,184,26,0,"—:139, м:64, шт:7"
алюм тяж,194,188,170,24,0,"—:139, м:52, шт:3"
кольцо 85,181,174,169,12,0,"—:100, шт:81"
гарпун тандем,178,175,176,1,1,"м:173, —:2, м.п.:1"
бп 40,173,171,158,13,2,"м:99, —:65, шт:6"
рассеиватель,165,159,142,21,2,"м:117, —:47, шт:1"
ваги,158,158,150,7,1,"шт:88, —:69, уп:1"
кольца 90,152,151,145,5,2,"шт:135, —:17"
закладная 60-110,151,149,146,5,0,"—:88, шт:63"
закладная 90,149,143,141,8,0,"шт:82, —:67"
потолочка,149,146,129,20,0,"—:85, м:51, шт:10"
тандем,134,133,133,1,0,"м:120, —:10, шт:3"
кольцо 90,131,130,129,1,1,"шт:103, —:28"
клей оконг,122,120,111,10,1,"шт:103, —:18, тюбика:1"
профиль,117,117,73,25,19,"м:79, —:26, палка:7"
перчатки хб,115,107,115,0,0,"пара:41, пар:36, шт:13"
торцы,115,111,105,9,1,"компл:50, шт:48, —:12"
профиль средний,114,114,45,51,18,"—:78, м:35, шт:1"
обвод трубы косточка 27мм,112,109,100,12,0,"—:77, шт:35"
вставка белая,111,110,101,7,3,"м:92, —:17, уп:1"
бп40,108,108,107,1,0,"м:97, палка:3, шт:3"
клей крокс,106,106,100,5,1,"шт:96, —:8, тюбик:1"
gx белый,105,101,98,7,0,"—:59, шт:46"
торцевые заглушки,104,98,92,11,1,"компл:44, шт:43, —:13"
крючки для пк,100,96,83,16,1,"—:70, шт:15, уп:6"
вставка по периметру,97,93,8,67,22,"—:92, шт:3, м:1"
вставка в пк,96,93,81,15,0,"—:62, м:33, шт:1"
саморезы 35,94,94,89,5,0,"кг:35, уп:27, пачка:18"
двойной гарпун,83,83,82,1,0,"м:80, —:2, м.п.:1"
еврокраб,79,78,77,1,1,"м:74, —:5"
подвесов,78,77,78,0,0,"шт:64, —:14"
гарпун обычный,74,74,33,32,9,"—:54, м:18, шт:2"
люстра,74,73,62,10,2,"—:50, шт:24"
укрывная,74,74,74,0,0,"шт:73, —:1"
лампа 8в 4000к,73,69,68,5,0,"—:40, шт:33"
кольцо 35,73,73,70,3,0,"шт:69, —:4"
уголки 125/150,73,72,72,1,0,"шт:65, —:2, упаковка:2"
профиль стандарт,71,70,56,9,6,"м:50, —:19, пачка:1"
обвод трубы косточка 22мм,70,67,66,4,0,"—:42, шт:28"
ваго 3ки,70,70,70,0,0,"шт:44, пачка:26"
вставка готика,70,67,44,20,6,"м:38, —:22, шт:4"
закладная под люстру,68,67,66,2,0,"шт:59, —:9"
кольца 75,68,68,66,2,0,"шт:65, —:3"
ваги тройные,67,65,65,1,1,"шт:40, пачка:13, —:7"
заглушки для пк,66,66,64,2,0,"пара:45, пачка:7, пары:5"
заглушки,65,65,54,10,1,"шт:26, компл:24, —:7"
"провод 2/1,5",65,65,65,0,0,м:65
оконг,64,63,57,7,0,"шт:45, —:19"
пк 14,63,61,59,4,0,"м:55, шт:4, палка:1"
платформа под люстру,63,62,55,8,0,"шт:54, —:9"
кольцо под люстру,61,61,50,10,1,"—:51, шт:10"
гарпун,59,59,52,4,3,"м:38, —:21"
стена тяж,59,59,59,0,0,м:59
брус дерево,58,58,57,1,0,"м:56, шт:2"
кольцо 112,58,56,56,2,0,"шт:33, —:25"
провод гост,58,58,55,2,1,"м:50, —:8"
ваги двойные,57,57,56,1,0,"шт:42, —:6, уп:5"
кольцо 25,57,55,55,2,0,"—:38, шт:19"
кольца 35,54,54,53,1,0,"шт:52, —:2"
кольца 85,52,52,51,1,0,"шт:51, —:1"
уголки 100х125,51,51,49,2,0,"шт:41, уп:4, коробка:3"
кольцо 75,51,51,50,1,0,"шт:45, —:6"
клопы,50,50,41,9,0,"кг:17, гр:14, шт:7"
отбойник,50,50,50,0,0,"м:42, —:4, шт:3"
вставка черная,49,49,41,8,0,"м:37, —:10, шт:2"
под пожарку 120,49,47,47,2,0,"—:36, шт:13"
кольцо 110,48,48,47,1,0,"шт:41, —:7"
обвод трубы косточка 32мм,47,43,43,4,0,"—:28, шт:19"
саморез 35,47,47,45,2,0,"кг:19, пачка:8, уп:7"
закл под gx,46,46,43,3,0,"—:33, шт:13"
крокс,46,46,42,4,0,"шт:37, —:8, тюбика:1"
разделитель,46,44,41,4,1,"м:27, —:13, шт:3"
профиль пвх,46,45,41,5,0,"м:38, —:7, м.п.:1"
закл под люстру,45,44,45,0,0,"шт:29, —:16"
кольцо под gx,45,45,42,3,0,"—:33, шт:12"
ваги3,45,43,45,0,0,"шт:23, —:21, уп:1"
