group_key,total,variants,unique_msgs,top_members,sizes,colors,units,merged_stems
кольц,3225,538,2011,кольцо 40(330) | кольцо 85(181) | кольца 90(152) | кольцо 90(131) | кольцо 35(73),"90:492, 40:423, 85:279, 75:167, 35:165, 30:158, 45:113, 50:109",белое:2,"шт:2470, —:754, коробка:1","колец, кольц, крльц, польц, ткольц"
подвес,1708,69,1677,подвесы(1141) | подвес(296) | подвесов(78) | подвеса(27) | подвес 07(12),"0,7:25, 07:21, 0.7:20, 0,9:19, 0.9:17, 09:15, 0.09:7, 7:5",,"шт:1207, —:483, коробка:9","падвес, повес, подаес, подвес"
вставк,1402,74,1342,вставка(1013) | вставка белая(111) | вставка черная(49) | вставки(40) | вставка черная мат(29),"501:5, 22:2, 40:2, 14:2, 130:1, 1:1, 245×163:1, 60:1","белая:119, черная:107, мат:33, чёрная:29, матовая:13","м:739, —:625, шт:23","вставк, вставу, всталк, выставк, ставк"
уголк,1250,348,1161,уголки 125*150(314) | уголки 125/150(73) | уголки 100х125(51) | уголки 125-е(44) | уголки 100*125(29),"125*150:344, 125/150:78, 125:76, 100х125:58, 15:57, 100*125:41, 125х150:40, 150:35",,"шт:838, —:283, уп:52","углолк, уголк, уголок"
ваг,1112,57,1040,ваго(551) | ваги(158) | ваги3(45) | ваго 3е(39) | ваго 3х(29),"3:239, 2:145, 15:1, 16:1, 20:1, 2х1:1, 10:1",,"шт:632, —:452, уп:14",
провод,1000,42,974,"провод(781) | провод 2/1,5(65) | провода(30) | провод 0.75(14) | провод 2*1,5(13)","5:104, 2/1:74, 75:30, 2*1:23, 2х0:19, 0.75:14, 2*075:9, 0,75:7","черный:4, белый:1","м:624, —:356, шт:16","повод, привод, провод, проводк"
брус,873,74,856,брус(700) | бруса(38) | брус 40х50(15) | брус 40*50(13) | брус 2м(8),"2:21, 40х50:16, 40*50:13, 50х40:8, 4*5:7, 4х5:6, 50*40:5, 6:4","чёрный:3, черный:1","м:622, —:190, шт:50",
пк,692,338,544,"пк 14(63) | пк 14 (3,2м)(23) | пк 14 (2м)(19) | пк14(16) | пк 14 2м(16)","14:509, 2:152, 3,2:119, 15:113, 3.2:57, 3:55, 5:30, 12:29","белый:81, черный:58, белая:54, черная:18, чёрный:9","шт:377, м:158, палка:93",
закладн,499,83,477,закладная 60-110(151) | закладная 90(149) | закладные 90(42) | закладные(14) | закладная 90 мм(8),"90:252, 60:163, 110:158, 60*110:8, 60/110:7, 125*155:6, 100:5, 120:5",,"шт:297, —:202","заклад, закладн, закладны, закладын, заклодн, накладн"
гарпун двойн,456,13,450,гарпун двойной(354) | двойной гарпун(83) | двойной гарпун черный(5) | гарпун двойной белый(4) | гарпун двойной черный(2),"23:1, 5:1, 6:1, 100:1","черный:8, белый:5, чёрный:1","м:334, —:117, шт:2",
люстр,383,8,375,под люстру(291) | люстра(74) | люстры(13) | 50 под люстру(1) | и 5 шт для люстры(1),"50:1, 5:1",,"—:243, шт:140",
саморез,378,100,345,саморезы 35(94) | саморез 35(47) | саморезы 41(25) | саморезы(19) | саморезы 35мм(14),"35:233, 41:45, 25:33, 3:16, 5*35:13, 2:7, 75:4, 1:3","черных:4, черный:2, жёлтый:1, синяя:1","кг:127, пачка:95, уп:54","саморез, соморез"
бп,323,21,317,бп 40(173) | бп40(108) | бп-40(21) | бп(3) | 1) бп 40(2),"40:315, 2:5, 1:2, 10:2, 21:1, 3:1, 03:1, 150:1",,"м:223, —:72, шт:14",
(empty),299,208,211,"55-105(39) | 2м(9) | 3,2(6) | 2 м(5) | 3,2 м(5)","105:40, 55:40, 2:21, 3,2:16, 3.2:8, 1:7, 50:6, 3:5",,"шт:206, —:64, м:15",
крючк,264,15,251,крючки(225) | комплект крючков(10) | крючков(10) | крючок(3) | крючки для p50(2),"50:7, 150:1, 60:1","черный:2, черных:1, чёрных:1","—:64, пачка:61, компл:57","крючек, крючк, крючок"
термокольц,245,132,146,термокольца 90(13) | термокольцо 90(10) | термокольцо 30(8) | термокольца 75(6) | термокольцо 75(6),"90:44, 110:18, 75:18, 40:17, 30:15, 125:10, 65:10, 80:10",,"шт:229, —:16","тенмокольц, термокльц, термоколец, термоколц, термокольк, термокольц, теромокольц"
косточк обвод труб,231,5,180,обвод трубы косточка 27мм(112) | обвод трубы косточка 22мм(70) | обвод трубы косточка 32мм(47) | обвод труб 27мм косточки(1) | обвод трубы 32 - косточка(1),"27:113, 22:70, 32:48",,"—:147, шт:84",
