msg_id,raw_name,quantity,unit,confidence
217659,( пк-5 у нас уже есть),,,low
31935,( слова клиента ),,,low
166591,(что-то),3,м,low
44951,*!!!заказ через владислава!!!*,,,low
45609,*!!!заказ через владислава!!!*,,,low
45628,*!!!заказ через владислава!!!*,,,low
44951,*длина:*,2,м,high
45609,*длина:*,2,м,high
24846,*заказ кухня*,,,low
45628,*конструктивные улучшения*,,,low
44951,*однорядный карнизный профиль borzz:*,,,low
45609,*однорядный карнизный профиль borzz:*,,,low
45628,*подробнее на сайте:  *,,,low
44951,*цвета:* белый и черный,,,low
45609,*цвета:* белый и черный,,,low
75535,+ 2 теневых диффузора,100,,high
75535,+ блок 100вт 24в,1,шт,high
106446,+ гарпун мок,2,м,high
101185,+ добавьте ваги двойные пачку,,,low
101184,+ клей 3 шт крокс,,,low
125057,+ потолочка паряга,2,м,high
101185,+ саморезов 35-х пачку,,,low
124977,+ сборка,,,low
106446,+ торц заглушки комплект,,,low
63641,+ торцевые заглушки,14,шт,high
106446,+ черная вставка в него,2,м,high
124977,+2 м еврокраб стеновой,,,low
28554,+2 оконг,,,low
217095,+4шт торцы на световые линии флекси,30,м,high
19587,+7 910 212 0528 на завтра 9,10,,high
219249,+79250942053. адрес москва,,,low
54009,+8/4000,8,шт,medium
54018,+8/4000,8,шт,medium
75535,+блок 200вт 24в,2,шт,high
125047,+вставка,,,low
26792,+добавьте пожалуйста 2пачки крючков для пк,14,,medium
125047,+заглушки,,,low
314399,+коробку уголков 100х125,1,,medium
313990,+полотна,,,low
125047,+рассеиватель,,,low
39828,- 20 закладных под gx,,,low
39828,- 20 колец - 85 диаметра,,,low
39828,- 20 светильников gx53+20лампочек 4000к (10w),,,low
39828,- брус,8,м,high
39828,- вент решетку - 125,1,шт,high
31905,- вкл/выкл,,,low
31905,- димирование,,,low
191951,- закладнаяипод вертилятор 120 мм из фанеры,2,шт,high
31905,- зоны,,,low
39828,- карниз пвх 8 метров (4шт по 2м),,,low
191951,- кольцо 125 мм,2,шт,high
191951,- кольцо 145 мм,1,шт,high
167399,- лампы 3000к; 10 ватт,13,шт,high
191951,"- профиль алюминий средний по периметру ( посчитайте, пожалуйста)",,,low
39828,- профиль облегченный на весь периметр,,,low
167399,- светильники gx53 белые,13,шт,high
39828,- угол 90’ на пвх карниз - 1 шт (полукруг),,,low
162244,-2 метра,2,шт,low
88939,-50,3,шт,low
93106,-багет пвх белый,20,м,high
158308,-бп40,6,м,high
158308,-брус,20,м,high
93106,-брус деревянный (ровный) для закладной под накладной трек,6,м,high
93106,-ваги 2-х,50,шт,high
93106,-ваги 3-х,20,шт,high
158308,-вставка130м,,,low
65916,-гарпун обычный,,,low
158308,-закладные универс60/120 шт,1,,medium
93106,-изолента,1,шт,high
65916,-матовый пвх,,,low
158308,-мсд еволюшн 100м²,,,low
93106,-подвесы длинные,30,шт,high
93106,-провод,20,м,high
158308,-разделитель20м,,,low
65916,"-самовывоз, север, на сегодня",,,low
93106,-саморезы 35 - 2кг,,,low
93106,-скотч молярный,1,шт,high
65916,-способ оплаты ( карта/нал),,,low
93106,-термокольцо ø20,5,шт,high
158308,-тяж.стеновой 130м.п,,,low
174500,"0,7 подвесов",10,шт,high
226388,"0,83/2,95 бел мат классик",1,шт,medium
34517,0.7 подвесы,1,уп,high
287899,000070886,6,м,medium
287899,000137444,6,м,medium
20017,01,3,палка,medium
152657,05 флекси,2,шт,high
59596,05.03.2026г поступил платеж от осадченко е.ю. на сумму 33290руб,,,low
1795,07ых подвесов,15,шт,high
123503,1 закладная под вентилятор 110мм фанера,,,low
183035,1 карниз 3.2 пластиковый,,,low
183035,1 карниз 3м пластиковый,,,low
28528,1 кг саморезов,35,,medium
31906,1 кнп вкл/выкл,,,low
183035,1 кольцо,45,,medium
183601,1 кольцо,45,,high
98643,1 кольцо ( 110 д ),,,low
28526,1 магн реш д100 белая,,,low
91168,1 марта спрашивал,,,low
151873,1 палка,2,м,high
28528,1 пачка дюбелей 35х,,,low
29364,1 пачка стяжек 15,20,,high
111907,1 пачку кованных гвоздей,22,,medium
183035,1 под люстру платформа,,,low
9534,"1 потолок усадка стандарт, гарпун обычный",,,low
1021,1 уп,1,уп,low
99726,1 шт,1,шт,low
20940,1 шт надо,1,шт,low
207763,1 шт нужна,1,шт,low
81382,1 шт полотно и вставка,15,м,high
314400,1) 22м вставки,,,low
71452,1) бп 40,4,м,high
71453,1) бп 40,4,м,high
45623,"1) столовые приборы ложки вилки , в зону отдыха",,,low
45624,"1) столовые приборы ложки вилки , в зону отдыха",,,low
71654,1)профиль стандарт,8,м,high
44808,"1,01*0,82",1,,medium
227054,"1,1м*2,2м",2,шт,medium
194214,"1,5х1,5 м",2,шт,medium
44808,"1,69*1,68",1,,medium
69333,1- 183см,100,,high
87065,1. 388х302,1,,medium
95640,1. flexy fly02 черный + рассеиватель,6,м,high
333642,1. профиль ал 130гр,36,м,high
333621,1. профиль ал 135гр,86,м,high
211249,1. профиль средний алюминий,92,м,high
31935,"1. что по условиям, сможем ли привезти и сколько скидка?",,,low
146255,1.0 х,2.48,,medium
275602,1.6 м,2,шт,low
328329,10 внешних,,,low
114413,10 вт лампы,8,шт,high
96582,10 метров,10,м,low
172451,10 метров,10,м,low
283552,10 метров,10,м,medium
108263,10 метров 19 см,10,м,medium
52622,10 метров профиля intra ply,,,low
264593,"10 термокольцо для натяжного потолка, диаметр 70 мм",100,шт,high
135939,10 шт квадратные закладные под карниз,,,low
39630,10% усадка спец раскрой черный гарпун обычный,1,,medium
55084,10*273,3,шт,high
87065,10. 355х94,1,,medium
333642,10. консоли 125х150 6шт,1,,medium
211249,10. теневой диффузор с электроприводом,2,шт,high
95640,10. углы белые 75х100 перфорированные,24,шт,high
333621,10. универсалки,37,шт,high
183074,100 ваг тройных,,,low
304604,100 вент решетка,1,шт,medium
264688,100 мм,6,шт,low
20739,100% верняк,,,low
303698,100*120,1,шт,medium
126421,100*120. 6 шт,1,,medium
15040,100*80,129,шт,medium
94874,100/125,4,уп,high
22676,100/125мм 2шт,1,,medium
171642,100/50,20,шт,medium
224995,1000/500,1,шт,high
98893,100w,2,шт,medium
183136,100w блок,1,шт,high
255459,105,4,шт,high
43778,105/105 сатин,1,,high
313043,105/245,1,шт,medium
41376,105х245,2,шт,high
166419,105х245,1,шт,high
235144,10м бп,40,,low
123541,10м бруса,,,low
147729,10мм,10,шт,low
38567,10мм  какой мощности?,,,low
163076,11 метров,11,м,low
264593,"11 термокольцо для натяжного потолка, диаметр 75 мм",100,шт,high
218842,11 числа с адреса,,,low
72747,11 штук,11,шт,low
211249,11. брус,4,м,high
333621,11. люстра фанера,3,шт,high
333642,11. теневой дифузор пустой 100мм,1,шт,high
159135,110 кольцо,10,шт,high
26940,110 термоколцо,1,шт,high
303712,110*125,2,шт,medium
99117,110е,1,шт,high
64546,110х50,4,шт,low
43113,112 кольцо,5,шт,high
88939,112 кольцо,,,medium
4415,112/98,1,,medium
224579,12 ватт 24 вольта,20,м,medium
173285,12 м бруса 02 на запад на утро,,,low
89859,12 м световая 30мм флекси слим и рассеиватель,12,м,high
