source_row,alias,matched_product_id,matched_product_name,match_type,confidence
19.11.:3,Еврокраб стеновой 34метра,763,Профиль EUROKRAAB стеновой теневой 2.0м + соединитель прямой,exact,1.0
19.11.:4,Стандарт 42метра,701,Профиль СТАНДАРТ (135г/м) АЛ стеновой гарпунный перфорированный 2.0м АТ-2461/М,exact,1.0
19.11.:5,Вставку 42 метра,41,Вставка белая TL Готика,exact,1.0
19.11.:6,Гвозди 22пачку,1195,№22 Гвозди кованые для монтажного пистолета,exact,1.0
19.11.:7,Балон,1239,Газ для монтажного пистолета,exact,1.0
19.11.:9,Перчатки нейлон 8 шт,1237,Перчатки Нейлон (белые),exact,1.0
19.11.:11,Торцы к ней 3 комплекта,415,Комплект торцевых заглушек ПК14 (на 2 торца профиля) - Белый,exact,1.0
19.11.:12,Вставку к ней-9 метров,46,"Вставка RU узкая для ПК14, ПК16, АМ1 - Белая",exact,1.0
19.11.:14,Крокс -2 шт,1231,"Клей Kroxx/Крокс ""301"" - 20гр.",exact,1.0
19.11.:15,Провод швп-30 метров,1178,Кабель/провод ШВВП 2*0.75 ГОСТ,exact,1.0
19.11.:16,Стяжки-пачку,1269,Хомут стяжка 2.5*150мм,exact,1.0
19.11.:17,Gx53 белые -17 шт,1292,Светильник GX53 Белый под 90 кольцо,exact,1.0
19.11.:18,Лампочки к ним 4000к 9ватт,1382,Лампа светодиодная GX53 8W 4000К,exact,1.0
19.11.:19,Кольца к ним,101,Протекторное кольцо - D 090мм,exact,1.0
19.11.:20,Площадки к ним,73,Круглая платформа 090мм под светильник,exact,1.0
19.11.:21,Площадки под люстру Тиса-3 шт,75,Платформа усиленная ТИСА под люстру 200мм,exact,1.0
19.11.:22,Кольца 30-3 шт,90,Протекторное кольцо - D 030мм,exact,1.0
19.11.:23,Перо по плитке 6-1 шт,1216,Сверло RennBohr Delta по кафелю керамограниту и стеклу D6 мм 2 грани,exact,1.0
19.11.:24,Подвесы жесткие-50 шт,1161,Подвес прямой 0.09 * 300мм,exact,1.0
19.11.:25,Уголки 100*125-пачку,1163,Кронштейн (уголок металлический) 100х125 белый (4/5) 288 шт/уп,exact,1.0
19.11.:26,Вставка в пк-14 5м,46,"Вставка RU узкая для ПК14, ПК16, АМ1 - Белая",exact,1.0
19.11.:28,Гвозди 19-е пачка,1193,№19 Гвозди кованые для монтажного пистолета,exact,1.0
19.11.:29,Уголки 150-е 12шт,1164,Кронштейн (уголок металлический) 125х150 белый (5/6) 288 шт/уп,exact,1.0
19.11.:30,Клей двухкомпонентный,1228,Клей 2-ух компонентный AKfix - 50/200мл,exact,1.0
19.11.:31,Саморезы 41-е 300шт,1184,"Саморезы 3.5*41 черные (2,07 кг.)",exact,1.0
19.11.:32,Вставка белая 5м,41,Вставка белая TL Готика,exact,1.0
19.11.:33,Контур белый 1шт,1282,Краска по стеклу и керамике DECOLA 18мл белая,exact,1.0
19.11.:34,Саморезы с пресшайбой со сверлом 13-е 100шт,1186,"Саморезы 4.2*13 с прессшайбой со сверлом (3,14кг в упаковке)",exact,1.0
19.11.:36,Профиль средний,701,Профиль СТАНДАРТ (135г/м) АЛ стеновой гарпунный перфорированный 2.0м АТ-2461/М,exact,1.0
19.11.:37,Вставка,41,Вставка белая TL Готика,exact,1.0
19.11.:38,Труба (27) 2шт + конусы,243,Обвод трубы пластина D27 L210 толщ. 2.5мм белый,exact,1.0
19.11.:39,Труба (27) 2шт + конусы,257,Заглушка трубы D27 Белый конус,exact,1.0
19.11.:40,Коронки лотос 2шт,1220,Алмазная коронка Lotus Super Hard,exact,1.0
19.11.:41,Бп-40 4м,733,БП40 АЛ профиль брусок 2.0м,exact,1.0
19.11.:43,Уголки 125-е 26шт,1163,Кронштейн (уголок металлический) 100х125 белый (4/5) 288 шт/уп,exact,1.0
